Exemplo 1-8-0,0017729
8-0,0002201
8-0,0002150
7-0,0001930
9-0,0002234
8-0,0002351
8-0,0002043
9-0,0002478
8-0,0002490
7-0,0002134
7-0,0002020
8-0,0002653
7-0,0002410
8-0,0002305
9-0,0002427
8-0,0002149
8-0,0002231
9-0,0002398
7-0,0002037
8-0,0002424
8-0,0002280
8-0,0002150
9-0,0002452
7-0,0002050
9-0,0002433
7-0,0002021
8-0,0002259
7-0,0011742
8-0,0018131
9-0,0001923
8-0,0002127
8-0,0001652
7-0,0001601
8-0,0001708
7-0,0001582
9-0,0001846
9-0,0001726
8-0,0001738
9-0,0001769
9-0,0001846
8-0,0001697
8-0,0001659
8-0,0001718
8-0,0001692
9-0,0001739
9-0,0001764
9-0,0001979
9-0,0001833
7-0,0001482
8-0,0001667
8-0,0001624
7-0,0001555
8-0,0001643
7-0,0001528
8-0,0001651
8-0,0001625
8-0,0001654
8-0,0001778
7-0,0001596
9-0,0001776
8-0,0001615
8-0,0001588
8-0,0001610
9-0,0001727
9-0,0001781
8-0,0001684
9-0,0001753
8-0,0001652
7-0,0001497
9-0,0001696
8-0,0001637
8-0,0001611
7-0,0001585
8-0,0001606
8-0,0001618
8-0,0001736
8-0,0001679
7-0,0001562
8-0,0001730
8-0,0001677
8-0,0001609
9-0,0001696
8-0,0001662
7-0,0001508
7-0,0001594
7-0,0001551
7-0,0001629
8-0,0001619
8-0,0001644
9-0,0001885
9-0,0001808
7-0,0001627
7-0,0001512
8-0,0001577
8-0,0001681
9-0,0001713
8-0,0001573
8-0,0001637
9-0,0001674
7-0,0001563
